XYDATA McStas simulated data for BEER at ESS on duplex sample
  ...
  ...
  ...
INTER   1.0   1.0   0  0
TEMP  300.0
   3394.872        1        1
   3396.744        1        1
   3398.616        1        1
   3400.488        1        1
   3402.360        1        1
   3404.232        1        1
   3406.104        1        1
   3407.976        1        1
   3409.848        1        1
   3411.720        1        1
   3413.592        1        1
   3415.464        1        1
   3417.336        1        1
   3419.208        1        1
   3421.080        1        1
   3422.952        1        1
   3424.824        1        1
   3426.696        1        1
   3428.568        1        1
   3430.440        1        1
   3432.312        1        1
   3434.184        1        1
   3436.056        1        1
   3437.928        1        1
   3439.800        1        1
   3441.672        1        1
   3443.544        1        1
   3445.416        1        1
   3447.288        1        1
   3449.160        1        1
   3451.032        1        1
   3452.904        1        1
   3454.776        1        1
   3456.648        1        1
   3458.520        1        1
   3460.392        1        1
   3462.264        1        1
   3464.136        1        1
   3466.008        1        1
   3467.880        1        1
   3469.752        1        1
   3471.624        1        1
   3473.496        1        1
   3475.368        1        1
   3477.240        1        1
   3479.112        1        1
   3480.984        1        1
   3482.856        1        1
   3484.728        1        1
   3486.600        1        1
   3488.472        1        1
   3490.344        1        1
   3492.216        1        1
   3494.088        1        1
   3495.960        1        1
   3497.832        1        1
   3499.704        1        1
   3501.576        1        1
   3503.448        1        1
   3505.320        1        1
   3507.192        1        1
   3509.064        1        1
   3510.936        1        1
   3512.808        1        1
   3514.680        1        1
   3516.552        1        1
   3518.424        1        1
   3520.296        1        1
   3522.168        1        1
   3524.040        1        1
   3525.912        1        1
   3527.784        1        1
   3529.656        1        1
   3531.528        1        1
   3533.400        1        1
   3535.272        1        1
   3537.144        1        1
   3539.016        1        1
   3540.888        1        1
   3542.760        1        1
   3544.632        1        1
   3546.504        1        1
   3548.376        1        1
   3550.248        1        1
   3552.120        1        1
   3553.992        1        1
   3555.864        1        1
   3557.736        1        1
   3559.608        1        1
   3561.480        1        1
   3563.352        1        1
   3565.224        1        1
   3567.096        1        1
   3568.968        1        1
   3570.840        3        3
   3572.712       11        6
   3574.584        9        6
   3576.456       20        8
   3578.328       15        7
   3580.200       59       14
   3582.072       65       14
   3583.944       71       17
   3585.816       48       12
   3587.688       25        9
   3589.560       29       10
   3591.432        5        3
   3593.304        2        2
   3595.176        1        1
   3597.048        1        1
   3598.920        1        1
   3600.792        1        1
   3602.664        1        1
   3604.536        1        1
   3606.408        1        1
   3608.280        1        1
   3610.152        1        1
   3612.024        1        1
   3613.896        1        1
   3615.768        1        1
   3617.640        1        1
   3619.512        1        1
   3621.384        1        1
   3623.256        1        1
   3625.128        1        1
   3627.000        1        1
   3628.872        1        1
   3630.744        1        1
   3632.616        1        1
   3634.488        1        1
   3636.360        1        1
   3638.232        1        1
   3640.104        1        1
   3641.976        1        1
   3643.848        1        1
   3645.720        1        1
   3647.592        1        1
   3649.464        1        1
   3651.336        1        1
   3653.208        1        1
   3655.080        1        1
   3656.952        1        1
   3658.824        1        1
   3660.696        1        1
