!Default Powder Pattern; NEUTRONS:  => lambda,Ls,Gs:  0.1000 9999.0 9999.0
    2.0000    0.0100  170.0000
     418477.7500     400377.3438     382115.3125     363788.2188     345488.4375     327303.6250     309316.3438     291602.8438
     274233.2188     257271.2031     240773.6562     224790.4844     209364.6719     194532.2031     180323.2656     166760.3906
     153860.6719     141635.1562     130089.4531     119224.8203     109036.0625      99516.0625      90653.0391      82432.6172
      74837.7109      67849.3047      61446.7148      55608.3477      50311.9531      45535.0938      41255.9688      37452.4102
      34104.1680      31191.8965      28697.9512      26606.4121      24903.4473      23577.4102      22619.0527      22021.7051
      21781.1953      21896.0723      22367.5762      23199.6230      24398.8359      25974.4023      27938.0645      30303.9141
      33088.3398      36309.7773      39988.3164      44145.7891      48805.2734      53990.7734      59726.8711      66038.3750
      72949.9297      80485.3281      88667.4609      97517.4922     107054.8516     117295.2031     128251.2734     139933.6094
     152346.1250     165490.4062     179360.4531     193946.9062     209232.0938     225193.0938     241800.1719     259016.3281
     276797.6875     295092.8438     313843.4062     332984.2188     352443.0938     372141.3750     391995.1875     411913.2188
     431800.7812     451559.2188     471086.6875     490278.5312     509029.4688     527233.4375     544786.3125     561584.6875
     577530.2500     592527.5625     606488.1875     619329.3125     630978.6250     641370.1250     650450.0625     658175.0625
     664513.6875     669446.4375     672968.1250     675084.7500     675818.1875     675200.3125     673278.6875     670112.1250
     665770.8750     660336.0000     653899.0000     646559.5625     638424.2500     629606.0625     620223.1875     610395.5625
     600246.1250     589896.5000     579468.1250     569078.3750     558841.6250     548865.3125     539249.8125     530088.2500
     521464.6562     513451.6562     506111.8438     499496.1562     493643.5000     488579.8125     484319.4062     480863.2812
     478200.4688     476307.9062     475151.2812     474684.9062     474853.5625     475592.3750     476828.7812     478483.1562
     480468.5000     482694.6562     485068.0625     487492.2188     489870.8438     492107.3438     494107.9375     495780.7812
     497039.3750     497802.8438     497995.0000     497548.9688     496405.2812     494514.0312     491834.0938     488334.9062
     483995.1875     478804.5000     472762.3750     465878.0312     458169.7188     449665.4688     440401.3750     430421.2500
     419775.7188     408521.6875     396722.2812     384443.1250     371755.2812     358730.8125     345445.6875     331974.4688
     318394.1562     304779.0312     291204.4688     277740.9688     264459.2188     251424.6406     238699.7344     226342.9844
     214408.6719     202945.7656     191998.8906     181607.2031     171804.9688     162621.0625     154079.5312     146199.0156
     138993.5000     132471.7500     126638.0078     121492.8047     117031.3047     113245.7734     110124.2344     107651.1875
     105808.3828     104574.6797     103926.1484     103836.7578     104278.3672     105221.2344     106633.9531     108484.2656
     110738.8438     113363.4844     116323.8281     119585.5625     123114.4688     126876.5469     130838.3359     134967.5625
     139233.1875     143604.8594     148054.0000     152554.3281     157080.9219     161611.0469     166123.8594     170601.3594
     175027.9844     179390.0625     183676.9688     187880.4375     191994.5469     196016.4375     199944.7031     203780.5000
     207526.8125     211188.7188     214772.3906     218284.1562     221732.7656     225126.4219     228473.4531     231781.8438
     235059.0000     238311.3125     241543.7188     244759.3125     247959.5781     251143.9844     254309.4688     257450.4062
     260559.2656     263626.1875     266637.7500     269579.6562     272434.0938     275182.6875     277804.6562     280278.0938
