!Default Powder Pattern; NEUTRONS:  => lambda,Ls,Gs:  1.2700 9980.0 9980.0
    1.0000    0.0500  140.0000
         58.2134         55.4485         53.1136         51.5744         51.0299         51.4748         52.6791         54.2746
         55.9052         57.3461         58.5005         59.3050         59.6628         59.5151         58.9978         58.4638
         58.2812         58.5870         59.2198         59.8563         60.2123         60.1611         59.7451         59.1396
         58.6311         58.5526         59.1015         60.1350         61.1592         61.5740         60.9887         59.3758
         57.0262         54.4369         52.2155         50.9558         51.0336         52.4320         54.7276         57.2825
         59.5599         61.1543         62.0901         62.6329         63.2128         64.2204         65.7452         67.4239
         68.5786         68.5846         67.2281         64.8272         62.0608         59.6461         58.1120         57.7250
         58.4629         60.0089         61.8468         63.4476         64.4359         64.6947         64.4108         64.0414
         64.1539         65.1534         67.0682         69.5557         72.0913         74.1673         75.3874         75.4853
         74.4212         72.5547         70.6357         69.4581         69.4118         70.2772         71.3995         72.0989
         72.0347         71.3167         70.3600         69.6244         69.3804         69.5940         70.0142         70.4019
         70.6937         71.0145         71.6186         72.8518         75.1338         78.8782         84.4576         92.7446
        107.1033        138.6076        216.8589        407.8188        834.1067       1679.5289       3148.8005       5360.8535
       8199.9229      11218.3740      13693.9639      14887.7324      14398.8057      12394.7061       9511.1357       6519.2734
       4004.4346       2219.9629       1129.3772        547.8949        274.0108        158.0584        112.7637         96.0393
         90.4841         89.3143         89.4639         89.1833         87.6375         84.9121         81.7558         79.1014
         77.6850         77.7975         79.2387         81.4651         83.8511         85.8838         87.2214         87.7230
         87.4046         86.3609         84.6395         82.1858         78.9716         75.2411         71.5318         68.5276
         66.8692         67.0102         69.1244         73.0180         78.0924         83.4280         87.9635         90.7481
         91.1783         89.2620         85.6906         81.5693         77.9398         75.4665         74.3105         74.2322
         74.7843         75.5296         76.1913         76.6407         76.7117         76.1005         74.5448         72.1337
         69.4443         67.3757         66.7481         67.8846         70.4165         73.4421         75.9651         77.3725
         77.7099         77.6118         77.9695         79.4842         82.2801         85.8145         89.2162         91.7663
         93.1984         93.6428         93.3615         92.5224         91.1213         89.0061         86.0381         82.3322
         78.3560         74.8708         72.7087         72.5414         74.6155         78.5723         83.5347         88.5023
         92.9863         97.8271        106.7628        129.5342        187.0091        316.9195        574.9536       1022.2014
       1692.5812       2548.6062       3452.2354       4185.0586       4526.8486       4362.4609       3748.3936       2879.1729
       1985.3395       1239.0573        712.6312        392.8296        223.7664        145.3485        113.0345        100.7159
         95.7518         93.0770         91.1308         89.6995         88.8682         88.5528         88.4878         88.4987
         88.7434         89.6494         91.5046         94.0068         96.1648         96.7484         95.0633         91.4509
         87.1268         83.5676         81.8395         82.1988         84.0069         86.1108         87.4566         87.5842
         86.6971         85.3757         84.1931         83.4417         83.1163         83.1676         83.6339         84.5975
         86.0742         87.9134         89.8464         91.4781         92.3412         92.1448         91.0508         89.7121
         89.0307         89.7329         91.9293         94.9250         97.4964         98.5260         97.6009         95.2209
         92.5550         90.8341         90.6798         91.8309         93.3831         94.3349         94.1081         92.7421
         90.5661         88.2918         85.9681         83.6234         81.4440         79.9588         79.8410         81.5774
         85.1632         90.0681         95.4734        100.6736        105.2580        109.0694        112.1246        114.5998
        116.9982        120.7641        129.3896        149.4671        190.6514        263.0063        371.2447        507.5767
        647.8073        756.1181        798.8112        761.3245        656.7971        518.2316        381.4275        270.8859
        194.7755        148.8132        123.5411        110.1636        103.0292         99.2690         97.4885         96.8484
         96.8165         97.1823         97.9762         99.2198        100.6464        101.6482        101.6185        100.4069
         98.4978         96.8275         96.3079         97.2713         99.2329        101.1858        102.2200        101.9618
        100.5724         98.4937         96.2048         94.1333         92.7332         92.5343         93.9957         97.2115
        101.6806        106.3206        109.7698        110.9583        109.6217        106.3977        102.5432         99.4300
         97.9520         98.1480         99.3066        100.4623        100.9212        100.5797         99.9191         99.6416
        100.2085        101.6320        103.5547        105.4358        106.7130        106.8981        105.6331        102.8100
         98.7899         94.4446         90.9396         89.3895         90.4879         94.1990         99.7319        105.8765
        111.5026        115.7599        118.3655        119.3326        118.8497        117.3536        115.6468        114.8136
        115.9510        119.8913        127.2943        138.4869        153.5823        171.9421        191.2158        207.1487
        214.7557        210.7260        195.5308        173.3715        150.0921        130.7347        117.9628        111.8806
        110.6851        111.8080        113.0014        113.0106        111.7098        109.7597        107.9865        106.8446
        106.3284        106.2838        106.7602        108.0776        110.4746        113.6365        116.6511        118.5162
        118.7088        117.4002        115.2632        112.9863        110.9266        109.1732        107.7905        106.9069
        106.6267        106.9148        107.5702        108.4226        109.5574        111.2530        113.6724        116.5494
        119.1164        120.4451        120.0478        118.2359        115.9290        114.1454        113.5276        114.0923
        115.3335        116.5497        117.1002        116.5081        114.4736        110.9354        106.2954        101.6601
         98.6686         98.8155        102.6571        109.4121        117.1529        123.6478        127.3496        127.9328
        126.2117        123.6070        121.4783        120.7238        121.6830        124.1505        127.4359        130.5052
        132.2391        131.8518        129.3604        125.6616        122.1287        119.9522        119.5214        120.2686
        121.1246        121.2237        120.3239        118.7944        117.2536        116.1578        115.6952        115.8903
        116.6195        117.4775        117.8328        117.0282        114.7712        111.4913        108.2699        106.3606
        106.6041        109.0420        112.9616        117.3268        121.2326        124.1749        126.0845        127.1272
        127.5117        127.4660        127.2373        127.0222        126.9010        126.8088        126.5645        126.1019
        125.7037        125.9433        127.3096        129.7155        132.3265        133.9980        133.9928        132.4207
        130.1274        128.0973        126.7835        125.9460        125.0555        123.7452        121.9677        119.8985
        117.8174        116.1491        115.4924        116.4320        119.2504        123.7402        129.1678        134.5280
        138.9505        141.8878        143.1002        142.5721        140.4086        136.8650        132.4712        128.0842
        124.8112        123.9050        127.0331        137.7599        164.9331        227.8432        360.5642        610.2209
       1021.7254       1607.0597       2311.6184       3001.4888       3494.7378       3635.3560       3375.0908       2802.4712
       2091.0176       1414.0792        881.7025        524.4548        315.6481        207.2970        156.2943        134.5292
        127.1402        127.1026        130.6319        135.0562        138.4176        139.6004        138.3604        135.0838
        130.5143        125.6194        121.4389        118.8142        118.1126        119.0460        120.7957        122.5428
        124.0476        125.8280        128.7680        133.3811        139.3078        145.4285        150.4120        153.3937
        154.2175        153.3194        151.3483        148.5719        145.2320        141.2494        136.6505        131.7469
        127.2668        124.2260        123.4563        125.0866        128.3153        131.6824        133.8107        134.1151
        132.9227        131.0648        129.3211        128.1271        127.7164        128.3227        130.0802        132.7502
        135.6069        137.7419        138.6533        138.6234        138.7712        141.0424        148.3737        165.1150
        196.7480        248.0043        319.0170        401.5660        478.2178        527.4219        533.0037        493.2551
        421.5807        339.0038        264.1715        207.3703        170.2334        148.9579        138.2162        133.3775
        131.3192        130.3206        129.7407        129.5790        130.0971        131.5432        134.0314        137.4555
        141.3826        145.0786        147.7172        148.6669        147.9028        145.8645        143.3071        140.8463
        138.7624        137.0498        135.6309        134.5249        133.8964        133.8429        134.2650        134.8108
        134.9991        134.3258        132.4605        129.4720        126.0020        123.3148        122.9242        125.8728
        132.0963        140.2521        148.2403        154.2208        157.3421        157.8672        156.6892        154.6769
        152.4172        150.2945        148.6026        147.5712        147.2489        147.6412        148.7667        150.7359
        153.3873        156.0586        157.6364        157.1802        154.6686        151.3251        149.3448        150.9278
        157.0609        166.7409        177.0517        184.2144        185.2592        179.5601        169.2145        157.9112
        149.1098        144.6515        144.2568        146.2836        148.8163        150.6259        151.2896        151.0406
        150.3852        149.8538        149.8083        150.2697        150.8697        151.0004        150.1787        148.4156
        146.2100        144.1312        142.5336        141.4176        140.8092        141.0656        142.7079        145.9386
        150.3041        154.8363        158.4680        160.2361        159.5942        156.4477        151.2215        144.9709
        139.1415        135.2182        134.1518        136.0268        140.1329        145.3741        150.6731        155.3039
        158.8319        161.1077        162.2474        162.5894        162.5155        162.1729        161.3078        159.5036
        156.6623        153.2905        150.4401        149.5416        152.8405        165.4384        200.1345        285.9945
        479.0851        867.0072       1553.6204       2611.2004       4006.4360       5541.8203       6870.5103       7607.1660
       7507.7676       6607.4663       5199.7651       3674.4739       2349.6934       1381.1908        771.4936        436.1917
        273.1592        202.4001        174.9497        165.8366        163.8269        164.1375        164.7059        164.7699
        164.3464        163.8028        163.4076        162.9967        162.0704        160.2891        157.7879        155.0945
        152.7251        150.7680        148.8866        146.6820        143.9859        141.1318        138.8548        138.1753
        140.0121        144.6344        151.3130        158.5572        164.6210        168.3620        169.5370        168.6431
        166.5826        164.3601        162.8237        162.3574        162.7627        163.4133        163.6212        163.0752
        162.0087        160.9727        160.4062        160.2827        160.1828        159.8013        159.4993        160.6900
        166.1806        181.0488        214.1661        279.0230        391.6778        563.0717        787.7620       1034.5864
       1248.4635       1368.4092       1355.1414       1213.7876        990.6046        747.3491        534.4851        376.9873
        275.4520        216.9030        185.9056        170.3852        162.9068        159.5029        158.2487        158.2769
        159.1052        160.2112        160.9126        160.6550        159.4063        157.7001        156.2980        155.6815
        155.7441        155.9601        155.7778        154.9951        153.9594        153.4964        154.6114        157.9335
